num,violation_id,violation_description,category,fine_min,fine_max,currency,additional_measures,legal_basis,document_source,severity,article_number,section,fine_amount_min,fine_amount_max,additional_penalty,vehicle_type,severity_level,keywords,article_title,violation_type,description,penalty_range,source_document,amendment_type
1,dieu_4_Khoản_1_1,Không chấp hành hiệu lệnh của người điều khiển giao thông,Vi phạm tín hiệu giao thông,4000000,5000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 3 tháng,Nghị định 100/2019/NĐ-CP - DIEU 4,nghi_dinh_100_2019,Trung bình,DIEU 4,Khoản 1,4000000.0,5000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 3 tháng,,Trung bình,"['không', 'chấp', 'hành', 'hiệu', 'lệnh', 'người', 'điều', 'khiển', 'giao', 'thông']","Vi phạm quy định về tuân thủ hiệu lệnh, chỉ dẫn của người điều khiển giao thông",,Không chấp hành hiệu lệnh của người điều khiển giao thông,4.000.000 - 5.000.000 VNĐ,nghi_dinh_100_2019,
2,dieu_5_Khoản_1_1,Không có giấy phép lái xe,Vi phạm giấy phép lái xe,8000000,12000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Nghiêm trọng,DIEU 5,Khoản 1,8000000.0,12000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Ô tô,Nghiêm trọng,"['không', 'giấy', 'phép', 'lái']",Vi phạm của người điều khiển xe ô tô,,Không có giấy phép lái xe,8.000.000 - 12.000.000 VNĐ,nghi_dinh_100_2019,
3,dieu_5_Khoản_1_2,Sử dụng giấy phép lái xe giả,Vi phạm giấy phép lái xe,8000000,12000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Nghiêm trọng,DIEU 5,Khoản 1,8000000.0,12000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Ô tô,Nghiêm trọng,"['dụng', 'giấy', 'phép', 'lái', 'giả']",Vi phạm của người điều khiển xe ô tô,,Sử dụng giấy phép lái xe giả,8.000.000 - 12.000.000 VNĐ,nghi_dinh_100_2019,
4,dieu_5_Khoản_1_3,Cho người không có giấy phép lái xe điều khiển xe,Vi phạm giấy phép lái xe,8000000,12000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Nghiêm trọng,DIEU 5,Khoản 1,8000000.0,12000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Ô tô,Nghiêm trọng,"['người', 'không', 'giấy', 'phép', 'lái', 'điều', 'khiển']",Vi phạm của người điều khiển xe ô tô,,Cho người không có giấy phép lái xe điều khiển xe,8.000.000 - 12.000.000 VNĐ,nghi_dinh_100_2019,
5,dieu_5_Khoản_2_1,Vượt tốc độ cho phép dưới 10 km/h,Ô tô - Vi phạm tốc độ,600000,800000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Nhẹ,DIEU 5,Khoản 2,600000.0,800000.0,,Ô tô,Nhẹ,"['vượt', 'tốc', 'phép', 'dưới']",Vi phạm của người điều khiển xe ô tô,,Vượt tốc độ cho phép dưới 10 km/h,600.000 - 800.000 VNĐ,nghi_dinh_100_2019,
6,dieu_5_Khoản_3_1,Vượt tốc độ cho phép từ 10 km/h đến dưới 20 km/h,Ô tô - Vi phạm tốc độ,1200000,1500000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Nhẹ,DIEU 5,Khoản 3,1200000.0,1500000.0,,Ô tô,Nhẹ,"['vượt', 'tốc', 'phép', 'dưới']",Vi phạm của người điều khiển xe ô tô,,Vượt tốc độ cho phép từ 10 km/h đến dưới 20 km/h,1.200.000 - 1.500.000 VNĐ,nghi_dinh_100_2019,
7,dieu_5_Khoản_4_1,Vượt tốc độ cho phép từ 20 km/h đến dưới 35 km/h,Ô tô - Vi phạm tốc độ,4000000,5000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Trung bình,DIEU 5,Khoản 4,4000000.0,5000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Ô tô,Trung bình,"['vượt', 'tốc', 'phép', 'dưới']",Vi phạm của người điều khiển xe ô tô,,Vượt tốc độ cho phép từ 20 km/h đến dưới 35 km/h,4.000.000 - 5.000.000 VNĐ,nghi_dinh_100_2019,
8,dieu_5_Khoản_5_1,Vượt tốc độ cho phép từ 35 km/h trở lên,Ô tô - Vi phạm tốc độ,16000000,18000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 22 đến 24 tháng,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Nghiêm trọng,DIEU 5,Khoản 5,16000000.0,18000000.0,Tước quyền sử dụng giấy phép lái xe từ 22 đến 24 tháng,Ô tô,Nghiêm trọng,"['vượt', 'tốc', 'phép', 'trở', 'lên']",Vi phạm của người điều khiển xe ô tô,,Vượt tốc độ cho phép từ 35 km/h trở lên,16.000.000 - 18.000.000 VNĐ,nghi_dinh_100_2019,
9,dieu_5_Khoản_6_1,Chạy ngược chiều đường một chiều,Vi phạm của người điều khiển xe ô tô,4000000,6000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Trung bình,DIEU 5,Khoản 6,4000000.0,6000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Ô tô,Trung bình,"['chạy', 'ngược', 'chiều', 'đường', 'chiều']",Vi phạm của người điều khiển xe ô tô,,Chạy ngược chiều đường một chiều,4.000.000 - 6.000.000 VNĐ,nghi_dinh_100_2019,
10,dieu_5_Khoản_6_2,Đi vào đường cấm,Vi phạm của người điều khiển xe ô tô,4000000,6000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Trung bình,DIEU 5,Khoản 6,4000000.0,6000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Ô tô,Trung bình,"['vào', 'đường', 'cấm']",Vi phạm của người điều khiển xe ô tô,,Đi vào đường cấm,4.000.000 - 6.000.000 VNĐ,nghi_dinh_100_2019,
